ID,Age,Marital_Status,Education,Income,MntFruits,MntMeatProducts,MntSweetProducts,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Country
1826,52,Divorced,Graduation,84835,104,379,189,4,6,1,Spain
1,61,Single,Graduation,57091,5,64,0,7,7,5,Canada
10476,64,Married,Graduation,67267,11,59,2,3,5,2,US
1386,55,Together,Graduation,32474,0,1,0,1,2,7,AUS
5371,33,Single,Graduation,21474,16,24,0,3,2,7,Spain
7348,64,Single,PhD,71691,130,411,32,4,5,2,Spain
4073,68,Married,Basic,63564,80,252,34,10,7,6,Germany
1991,55,Together,Graduation,44931,0,11,0,2,3,5,Spain
4047,68,Married,PhD,65324,0,102,32,6,9,4,US
9477,68,Married,PhD,65324,0,102,32,6,9,4,India
2079,75,Married,Basic,81044,26,535,98,5,10,1,US
5642,43,Together,Master,62499,4,61,13,3,6,4,Spain
10530,63,Widow,PhD,67786,82,441,20,3,6,1,India
2964,41,Married,Graduation,26872,10,8,16,1,2,6,Canada
10311,53,Married,Graduation,4428,4,12,4,25,0,1,Spain
837,45,Married,Graduation,54809,6,57,13,2,5,4,Spain
10521,45,Married,Graduation,54809,6,57,13,2,5,4,Spain
10175,64,Divorced,PhD,32173,0,2,0,1,3,4,Spain
1473,62,Single,Basic,47823,1,5,1,2,3,8,Canada
2795,64,Single,Master,30523,0,3,0,1,2,7,Canada
2285,68,Together,Master,36634,9,76,3,5,5,7,SA
115,56,Single,Master,43456,11,68,7,5,8,5,India
10470,43,Married,Master,40662,2,23,4,2,3,4,Germany
4065,46,Married,PhD,49544,0,73,0,5,8,7,Spain
10968,53,Single,Graduation,57731,21,300,8,8,6,6,India
5985,57,Single,Master,33168,1,37,1,2,4,7,Spain
5430,66,Together,Graduation,54450,0,171,19,9,8,8,Spain
8432,66,Together,Graduation,54450,0,171,19,9,8,8,Spain
453,66,Widow,PhD,35340,0,12,1,2,3,5,Spain
9687,47,Single,Graduation,73170,174,256,30,5,6,2,Canada
8890,51,Divorced,PhD,65808,7,80,7,5,5,6,Spain
9264,36,Married,Graduation,79529,42,706,197,4,9,2,Canada
5824,50,Together,PhD,34578,0,1,0,1,2,6,AUS
5794,48,Married,PhD,46374,0,21,0,7,7,8,India
3068,32,Married,Graduation,18351,12,9,14,2,3,7,Spain
7962,35,Single,PhD,95169,21,449,20,4,4,1,Spain
2681,38,Married,Basic,65370,22,112,89,2,13,1,Spain
10141,62,Divorced,Master,39228,1,6,3,0,3,4,SA
3725,61,Single,PhD,84865,16,349,16,2,9,4,Spain
3767,54,Married,Graduation,61314,0,189,172,5,12,3,Spain
5585,50,Single,Graduation,21359,2,17,1,2,3,8,Canada
7030,67,Married,PhD,66465,0,204,29,11,12,6,Spain
1524,39,Single,Basic,81698,45,115,160,8,5,5,Spain
3657,36,Single,Graduation,39146,1,33,12,4,4,8,Spain
5740,52,Divorced,Basic,25959,2,12,5,1,2,6,Spain
9595,61,Together,Graduation,64260,169,816,0,4,4,3,Spain
3158,49,Married,Graduation,32300,3,6,5,1,3,8,Spain
5114,57,Married,Master,74806,9,249,28,5,5,4,AUS
340,52,Divorced,Graduation,72967,35,179,0,7,8,5,Germany
8805,62,Single,Graduation,48904,10,38,13,7,4,8,US
1241,38,Married,Basic,14796,3,8,4,1,3,9,Germany
1402,68,Married,Master,66991,36,460,60,4,6,3,Germany
7264,44,Single,Basic,52195,0,4,0,1,2,8,SA
1619,66,Married,Graduation,90369,51,981,23,4,6,1,Spain
6398,48,Married,Basic,18393,10,13,0,3,3,8,Spain
1857,70,Single,Graduation,47139,0,12,2,2,2,7,Spain
4877,49,Married,Master,38576,0,7,0,1,3,7,India
3066,47,Together,PhD,61905,0,43,2,4,4,5,SA
10286,60,Married,Graduation,83715,8,407,35,2,13,0,SA
1992,58,Married,Graduation,60597,0,257,16,2,8,7,Spain
4246,40,Single,Master,6560,11,26,3,1,1,17,Spain
10623,61,Together,Master,48330,0,4,0,1,3,5,Spain
4867,54,Single,PhD,38236,0,18,0,3,4,7,Spain
3112,45,Married,Master,22701,4,9,4,1,3,5,Spain
4865,48,Divorced,Master,53367,7,140,3,5,8,7,AUS
6287,36,Together,Graduation,34728,0,16,0,1,2,6,Spain
4405,66,Married,Master,63915,7,115,0,6,12,5,AUS
5332,62,Married,Basic,82504,50,431,35,3,7,1,India
1519,50,Single,PhD,38578,4,22,3,3,3,8,Spain
9080,50,Single,PhD,38578,4,22,3,3,3,8,Spain
1772,47,Married,PhD,79174,37,518,92,5,7,2,Canada
5341,60,Divorced,Basic,81975,76,184,138,6,4,7,SA
5510,45,Married,Master,43263,6,61,10,5,6,5,Spain
3887,52,Single,Graduation,27242,17,26,1,2,3,9,India
7022,51,Married,Graduation,76445,107,309,80,2,13,6,SA
9999,57,Together,Graduation,75276,105,125,42,9,9,5,Spain
10352,59,Widow,Graduation,34213,4,28,3,3,2,9,SA
7919,46,Together,PhD,72335,105,653,21,10,8,8,Spain
4114,58,Married,Master,79143,37,780,167,6,13,3,AUS
7990,75,Married,Graduation,27469,1,2,2,0,3,6,Canada
9888,53,Together,Graduation,68695,81,356,50,4,7,2,Spain
4399,53,Together,Graduation,68695,81,356,50,4,7,2,Canada
